City,Neighborhood,Listing Type,Zip,ListingFeatureType,Price,Address,HDP Type,Longitude,County,Device Type,State,BrokerId,PropertyType,Latitude,TrackingContactModule,House ID  Zpid
Seattle,Beacon Hill,For Sale Broker,98108,featured,129000,20 Xx S Raymond St,ForSale,-122307300,King,Desktop,WA,10787,Vacant Land,47548800,featuredHDPHotelCaliforniaMini111111201,2105526521,
Seattle,South Park,For Sale Broker,98108,organic,247500,8661 Dallas Ave S,ForSale,-122311447,King,Desktop,WA,13461,Vacant Land,47525856,bal3HDPHotelCaliforniaMini1111221100211,2121133898,
Seattle,Seaview,For Sale Broker,98136,organic,700000,5426 Beach Dr SW,ForSale,-122398947,King,Desktop,WA,35,Vacant Land,47553643,nocontactboxupsellHDPHotelCaliforniaMini00000000,2105695335,
Seattle,North Queen Anne,For Sale Broker,98109,organic,1299000,3208 Queen Anne Ave N,ForSale,-122357002,King,Desktop,WA,21,Vacant Land,47648899,bal4HDPHotelCaliforniaMini111111122201111,2105858538,
Seattle,Minor,For Sale Broker,98122,organic,189900,2223 E Terrace St,ForSale,-122303405,King,Desktop,WA,13404,Vacant Land,47605034,bal3HDPHotelCaliforniaMini1111222100211,2106016278,
Seattle,Matthews Beach,For Sale Broker,98125,organic,119950,137 Riviera Pl NE,ForSale,-122273598,King,Desktop,WA,721,Vacant Land,47701172,bal3HDPHotelCaliforniaMini1111221200211,2106348840,
Seattle,Fauntleroy,For Sale Broker,98136,featured,125000,8320 46TH Ave SW,ForSale,-122391506,King,Desktop,WA,3031,Vacant Land,47529429,featuredHDPHotelCaliforniaMini111111201,96663985,
Seattle,North Beach,For Sale Broker,98117,organic,269800,3280 NW Esplanade,ForSale,-122401080,King,Desktop,WA,13461,Vacant Land,47697574,bal3HDPHotelCaliforniaMini1111112200211,96647789,
Seattle,North Beacon Hill,For Sale Broker,98144,featured,179900,22XX 12th Ave S,ForSale,-122317400,King,Desktop,WA,10787,Vacant Land,47583300,featuredHDPHotelCaliforniaMini111111201,2106917243,
Seattle,Westlake,For Sale Broker,98337,organic,229000,4475 Birch Ave N,ForSale,-122346500,King,Desktop,WA,10787,Vacant Land,47642300,bal4HDPHotelCaliforniaMini111111211201111,2106918466,
Seattle,Magnolia,For Sale Broker,98199,organic,145000,24XX Perkins Ln W,ForSale,-122412300,King,Desktop,WA,10787,Vacant Land,47639700,bal4HDPHotelCaliforniaMini111111121201111,2106918308,
Seattle,Montlake,For Sale Broker,98102,organic,895000,1938 10th Ave E,ForSale,-122319758,King,Desktop,WA,9318,Vacant Land,47637094,bal4HDPHotelCaliforniaMini111111112201111,48785525,
Seattle,Leschi,For Sale Broker,98122,organic,290000,201 Euclid Ave,ForSale,-122289354,King,Desktop,WA,13404,Vacant Land,47601909,bal4HDPHotelCaliforniaMini111111112201111,2106978607,
Seattle,North Beacon Hill,For Sale Broker,98144,organic,325000,1521 18th Ave S,ForSale,-122309546,King,Desktop,WA,8328,Vacant Land,47589047,bal4HDPHotelCaliforniaMini111111122201111,2107278598,
Seattle,Beacon Hill,For Sale Broker,98108,organic,139000,2443 S Morgan St,ForSale,-122301669,King,Desktop,WA,721,Vacant Land,47544215,bal3HDPHotelCaliforniaMini1111111100211,96691006,
Seattle,Admiral,For Sale Broker,98126,featured,425000,3005 SW Harbor Ln,ForSale,-122372814,King,Desktop,WA,13404,Vacant Land,47577259,featuredHDPHotelCaliforniaMini111111201,49013048,
Seattle,Olympic Hills,For Sale Broker,98155,organic,1450000,1717 NE 145th St,ForSale,-122309560,King,Desktop,WA,13404,Vacant Land,47733624,bal3HDPHotelCaliforniaMini1111111200211,48999411,
Seattle,Beacon Hill,For Sale Broker,98118,organic,100000,3558 S Morgan St,ForSale,-122286879,King,Desktop,WA,4095,Vacant Land,47544352,bal4HDPHotelCaliforniaMini111111222201111,2108497674,
