Region.Name,City,State,Metro,County.Name,Value,date
South End,Tacoma,WA,Seattle,Pierce,NA,2010-02-01
South End,Tacoma,WA,Seattle,Pierce,NA,2010-03-01
South End,Tacoma,WA,Seattle,Pierce,NA,2010-04-01
South End,Tacoma,WA,Seattle,Pierce,NA,2010-05-01
South End,Tacoma,WA,Seattle,Pierce,NA,2010-06-01
South End,Tacoma,WA,Seattle,Pierce,NA,2010-07-01
South End,Tacoma,WA,Seattle,Pierce,0.952631578947368,2010-08-01
South End,Tacoma,WA,Seattle,Pierce,0.952631578947368,2010-09-01
South End,Tacoma,WA,Seattle,Pierce,0.952631578947368,2010-10-01
South End,Tacoma,WA,Seattle,Pierce,0.952631578947368,2010-11-01
South End,Tacoma,WA,Seattle,Pierce,0.958823529411764,2010-12-01
South End,Tacoma,WA,Seattle,Pierce,0.952173913043478,2011-01-01
South End,Tacoma,WA,Seattle,Pierce,0.952631578947368,2011-02-01
South End,Tacoma,WA,Seattle,Pierce,0.961538461538461,2011-03-01
South End,Tacoma,WA,Seattle,Pierce,0.887345679012345,2011-04-01
South End,Tacoma,WA,Seattle,Pierce,0.9,2011-05-01
South End,Tacoma,WA,Seattle,Pierce,0.9,2011-06-01
South End,Tacoma,WA,Seattle,Pierce,0.817647058823529,2011-07-01
South End,Tacoma,WA,Seattle,Pierce,0.823252688172043,2011-08-01
South End,Tacoma,WA,Seattle,Pierce,0.852272727272727,2011-09-01
South End,Tacoma,WA,Seattle,Pierce,0.852272727272727,2011-10-01
South End,Tacoma,WA,Seattle,Pierce,0.863439306358381,2011-11-01
South End,Tacoma,WA,Seattle,Pierce,0.886290322580645,2011-12-01
South End,Tacoma,WA,Seattle,Pierce,0.832262210796915,2012-01-01
South End,Tacoma,WA,Seattle,Pierce,0.826771653543307,2012-02-01
South End,Tacoma,WA,Seattle,Pierce,0.836120401337792,2012-03-01
South End,Tacoma,WA,Seattle,Pierce,0.905797101449275,2012-04-01
South End,Tacoma,WA,Seattle,Pierce,0.885542168674698,2012-05-01
South End,Tacoma,WA,Seattle,Pierce,0.878594249201277,2012-06-01
South End,Tacoma,WA,Seattle,Pierce,0.892857142857142,2012-07-01
South End,Tacoma,WA,Seattle,Pierce,0.935294117647058,2012-08-01
South End,Tacoma,WA,Seattle,Pierce,0.936170212765957,2012-09-01
South End,Tacoma,WA,Seattle,Pierce,0.928571428571428,2012-10-01
South End,Tacoma,WA,Seattle,Pierce,0.914634146341463,2012-11-01
South End,Tacoma,WA,Seattle,Pierce,0.912301353737492,2012-12-01
South End,Tacoma,WA,Seattle,Pierce,0.908430232558139,2013-01-01
South End,Tacoma,WA,Seattle,Pierce,0.91454802259887,2013-02-01
South End,Tacoma,WA,Seattle,Pierce,0.889328063241106,2013-03-01
South End,Tacoma,WA,Seattle,Pierce,0.957532051282051,2013-04-01
South End,Tacoma,WA,Seattle,Pierce,0.9375,2013-05-01
South End,Tacoma,WA,Seattle,Pierce,0.9375,2013-06-01
South End,Tacoma,WA,Seattle,Pierce,0.9379042690815,2013-07-01
South End,Tacoma,WA,Seattle,Pierce,0.885416666666666,2013-08-01
South End,Tacoma,WA,Seattle,Pierce,0.909387222946544,2013-09-01
South End,Tacoma,WA,Seattle,Pierce,0.924556213017751,2013-10-01
South End,Tacoma,WA,Seattle,Pierce,0.908847184986595,2013-11-01
South End,Tacoma,WA,Seattle,Pierce,0.910714285714285,2013-12-01
South End,Tacoma,WA,Seattle,Pierce,0.885231316725978,2014-01-01
South End,Tacoma,WA,Seattle,Pierce,0.875,2014-02-01
South End,Tacoma,WA,Seattle,Pierce,0.900452488687782,2014-03-01
South End,Tacoma,WA,Seattle,Pierce,0.9375,2014-04-01
South End,Tacoma,WA,Seattle,Pierce,0.929054054054054,2014-05-01
South End,Tacoma,WA,Seattle,Pierce,0.889662027833001,2014-06-01
South End,Tacoma,WA,Seattle,Pierce,0.889662027833001,2014-07-01
South End,Tacoma,WA,Seattle,Pierce,0.939655172413793,2014-08-01
South End,Tacoma,WA,Seattle,Pierce,1.00393700787402,2014-09-01
South End,Tacoma,WA,Seattle,Pierce,0.97560975609756,2014-10-01
South End,Tacoma,WA,Seattle,Pierce,0.948616600790513,2014-11-01
Capitol Hill,Seattle,WA,Seattle,King,NA,2010-02-01
Capitol Hill,Seattle,WA,Seattle,King,NA,2010-03-01
Capitol Hill,Seattle,WA,Seattle,King,NA,2010-04-01
Capitol Hill,Seattle,WA,Seattle,King,NA,2010-05-01
Capitol Hill,Seattle,WA,Seattle,King,1.82845744680851,2010-06-01
Capitol Hill,Seattle,WA,Seattle,King,1.78571428571428,2010-07-01
Capitol Hill,Seattle,WA,Seattle,King,1.94915254237288,2010-08-01
Capitol Hill,Seattle,WA,Seattle,King,1.80225988700565,2010-09-01
Capitol Hill,Seattle,WA,Seattle,King,1.82845744680851,2010-10-01
Capitol Hill,Seattle,WA,Seattle,King,NA,2010-11-01
Capitol Hill,Seattle,WA,Seattle,King,1.96153846153846,2010-12-01
Capitol Hill,Seattle,WA,Seattle,King,1.80260047281324,2011-01-01
Capitol Hill,Seattle,WA,Seattle,King,1.77919708029197,2011-02-01
Capitol Hill,Seattle,WA,Seattle,King,1.80260047281324,2011-03-01
Capitol Hill,Seattle,WA,Seattle,King,1.91666666666667,2011-04-01
Capitol Hill,Seattle,WA,Seattle,King,1.97916666666667,2011-05-01
Capitol Hill,Seattle,WA,Seattle,King,1.64041994750656,2011-06-01
Capitol Hill,Seattle,WA,Seattle,King,1.6875,2011-07-01
Capitol Hill,Seattle,WA,Seattle,King,1.71974522292994,2011-08-01
Capitol Hill,Seattle,WA,Seattle,King,1.71974522292994,2011-09-01
Capitol Hill,Seattle,WA,Seattle,King,1.6796875,2011-10-01
Capitol Hill,Seattle,WA,Seattle,King,1.79166666666667,2011-11-01
Capitol Hill,Seattle,WA,Seattle,King,1.74273858921162,2011-12-01
Capitol Hill,Seattle,WA,Seattle,King,1.84824902723735,2012-01-01
Capitol Hill,Seattle,WA,Seattle,King,1.97080291970803,2012-02-01
Capitol Hill,Seattle,WA,Seattle,King,2.02235772357723,2012-03-01
Capitol Hill,Seattle,WA,Seattle,King,2.04166666666667,2012-04-01
Capitol Hill,Seattle,WA,Seattle,King,2.1,2012-05-01
Capitol Hill,Seattle,WA,Seattle,King,2.23607038123167,2012-06-01
Capitol Hill,Seattle,WA,Seattle,King,2.14747039827772,2012-07-01
Capitol Hill,Seattle,WA,Seattle,King,2.24458204334365,2012-08-01
Capitol Hill,Seattle,WA,Seattle,King,2.14747039827772,2012-09-01
Capitol Hill,Seattle,WA,Seattle,King,2.33064516129032,2012-10-01
Capitol Hill,Seattle,WA,Seattle,King,2.35177865612648,2012-11-01
Capitol Hill,Seattle,WA,Seattle,King,2.34088457389428,2012-12-01
Capitol Hill,Seattle,WA,Seattle,King,2.41126070991432,2013-01-01
Capitol Hill,Seattle,WA,Seattle,King,2.32777777777778,2013-02-01
Capitol Hill,Seattle,WA,Seattle,King,2.26486486486486,2013-03-01
Capitol Hill,Seattle,WA,Seattle,King,2.20762155059133,2013-04-01
Capitol Hill,Seattle,WA,Seattle,King,2.10714285714286,2013-05-01
Capitol Hill,Seattle,WA,Seattle,King,2.25,2013-06-01
Capitol Hill,Seattle,WA,Seattle,King,2.28155339805825,2013-07-01
Capitol Hill,Seattle,WA,Seattle,King,2.29861111111111,2013-08-01
Capitol Hill,Seattle,WA,Seattle,King,2.38437001594896,2013-09-01
Capitol Hill,Seattle,WA,Seattle,King,2.30326295585413,2013-10-01
Capitol Hill,Seattle,WA,Seattle,King,2.30326295585413,2013-11-01
Capitol Hill,Seattle,WA,Seattle,King,2.30061349693251,2013-12-01
Capitol Hill,Seattle,WA,Seattle,King,2.31506849315068,2014-01-01
Capitol Hill,Seattle,WA,Seattle,King,2.35129068462402,2014-02-01
Capitol Hill,Seattle,WA,Seattle,King,2.37301587301587,2014-03-01
Capitol Hill,Seattle,WA,Seattle,King,2.58136482939633,2014-04-01
Capitol Hill,Seattle,WA,Seattle,King,2.69230769230769,2014-05-01
Capitol Hill,Seattle,WA,Seattle,King,2.76724137931034,2014-06-01
Capitol Hill,Seattle,WA,Seattle,King,2.75695931477516,2014-07-01
Capitol Hill,Seattle,WA,Seattle,King,2.78293135435993,2014-08-01
Capitol Hill,Seattle,WA,Seattle,King,2.69347496206373,2014-09-01
Capitol Hill,Seattle,WA,Seattle,King,2.60769230769231,2014-10-01
Capitol Hill,Seattle,WA,Seattle,King,2.58346581875994,2014-11-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-02-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-03-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-04-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-05-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-06-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-07-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-08-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-09-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-10-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-11-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,NA,2010-12-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.924499229583975,2011-01-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.933786078098471,2011-02-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.875,2011-03-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.802845528455284,2011-04-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.847457627118644,2011-05-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.881742738589211,2011-06-01
